Date : 2024-01-29 13:44:31
Directory : c:\Users\haqim\Project\Flutter\utpinme
Total : 118 files,  28080 codes, 329 comments, 586 blanks, all 28995 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         85 |     27,079 |        271 |        396 |     27,746 |
| Markdown   |          8 |        481 |          0 |        130 |        611 |
| JSON       |          6 |        193 |          0 |          2 |        195 |
| XML        |         10 |        138 |         46 |         10 |        194 |
| Gradle     |          3 |         88 |          5 |         22 |        115 |
| YAML       |          2 |         80 |          7 |         21 |        108 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        118 |     28,080 |        329 |        586 |     28,995 |
| . (Files)                                                                                                    |          7 |        515 |          7 |        134 |        656 |
| .github                                                                                                      |          2 |         43 |          0 |         15 |         58 |
| .github\ISSUE_TEMPLATE                                                                                       |          2 |         43 |          0 |         15 |         58 |
| android                                                                                                      |         14 |        173 |         49 |         33 |        255 |
| android (Files)                                                                                              |          3 |         38 |          0 |         10 |         48 |
| android\app                                                                                                  |         10 |        130 |         49 |         22 |        201 |
| android\app (Files)                                                                                          |          2 |         53 |          5 |         14 |         72 |
| android\app\src                                                                                              |          8 |         77 |         44 |          8 |        129 |
| android\app\src\debug                                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                         |          6 |         68 |         36 |          5 |        109 |
| android\app\src\main (Files)                                                                                 |          1 |         36 |          6 |          3 |         45 |
| android\app\src\main\res                                                                                     |          5 |         32 |         30 |          2 |         64 |
| android\app\src\main\res\drawable                                                                            |          1 |          4 |          7 |          1 |         12 |
| android\app\src\main\res\drawable-v21                                                                        |          1 |          4 |          7 |          1 |         12 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                   |          1 |          6 |          0 |          0 |          6 |
| android\app\src\main\res\values                                                                              |          1 |          9 |          8 |          0 |         17 |
| android\app\src\main\res\values-night                                                                        |          1 |          9 |          8 |          0 |         17 |
| android\app\src\profile                                                                                      |          1 |          5 |          4 |          2 |         11 |
| android\gradle                                                                                               |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                       |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                       |          2 |        162 |          0 |          0 |        162 |
| assets\map_styles                                                                                            |          2 |        162 |          0 |          0 |        162 |
| ios                                                                                                          |          8 |        108 |          2 |          8 |        118 |
| ios (Files)                                                                                                  |          1 |          7 |          0 |          0 |          7 |
| ios\Runner                                                                                                   |          7 |        101 |          2 |          8 |        111 |
| ios\Runner (Files)                                                                                           |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                                   |          3 |         27 |          0 |          3 |         30 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                |          1 |          1 |          0 |          0 |          1 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                              |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                        |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                          |         85 |     27,079 |        271 |        396 |     27,746 |
| lib (Files)                                                                                                  |          2 |         97 |         18 |         11 |        126 |
| lib\auth                                                                                                     |          2 |        183 |          2 |         13 |        198 |
| lib\pages                                                                                                    |         78 |     26,533 |        242 |        357 |     27,132 |
| lib\pages\home                                                                                               |          7 |      3,997 |         17 |         22 |      4,036 |
| lib\pages\home (Files)                                                                                       |          3 |      1,703 |         15 |         14 |      1,732 |
| lib\pages\home\news                                                                                          |          2 |        804 |          2 |          4 |        810 |
| lib\pages\home\upcoming_events                                                                               |          2 |      1,490 |          0 |          4 |      1,494 |
| lib\pages\mini_app                                                                                           |         61 |     18,810 |        162 |        285 |     19,257 |
| lib\pages\mini_app (Files)                                                                                   |          1 |      1,957 |         28 |         13 |      1,998 |
| lib\pages\mini_app\academic_calendar                                                                         |         11 |      1,332 |         16 |         33 |      1,381 |
| lib\pages\mini_app\academic_calendar (Files)                                                                 |          2 |        260 |          1 |          6 |        267 |
| lib\pages\mini_app\academic_calendar\fdug_pack                                                               |          4 |        531 |          7 |         12 |        550 |
